record_id,plant_id,part_number,part_name,quantity,unit,weight_kg,production_date,ship_date,customer_id,status,last_modified
R-00030,C,BRKT_146,Brkt Assembly 146,1742,mm,25.61,2024-07-16,2024-08-12,CU-0203,completed,2024-08-13
R-00031,C,VALV_127,Valv Assembly 127,2480,mm,30.52,2026-05-04,2026-05-25,CU-0134,completed,2026-05-26
R-00032,C,RING_145,Ring Assembly 145,1075,mm,48.79,2025-05-26,2025-06-04,CU-0220,shipped,2025-06-05
R-00033,A,shft-121 ,Shft Assembly 121,2124,mm,69.82,2025-07-22,2025-07-23,CU-0025,in_qa,2025-07-24
R-00034,A, plte-114,Plte Assembly 114,3368,mm,55.54,2024-11-26,2024-12-21,CU-0117,completed,2024-12-22
R-00035,C,GEAR_135,Gear Assembly 135,4941,mm,26.29,2024-01-20,2024-01-26,CU-0022,shipped,2024-01-27
R-00036,A,SHFT-148,Shft Assembly 148,4364,mm,4.11,2025-05-02,2025-06-04,CU-0117,shipped,2025-06-05
R-00037,C,GEAR_103,Gear Assembly 103,4715,mm,72.37,2024-02-17,2024-03-15,CU-0043,completed,2024-03-16
R-00038,A,RING-135,Ring Assembly 135,2005,mm,3.41,2025-05-15,2025-05-17,CU-0150,shipped,2025-05-18
R-00039,C,RING_113,Ring Assembly 113,2127,mm,76.45,2024-02-26,2024-03-30,CU-0014,in_qa,2024-03-31
R-00040,B,VALV-119,Valv Assembly 119,4796,mm,46.81,2025-05-18,2025-06-10,CU-0032,shipped,2025-06-11
R-00041,A,BOLT-138,Bolt Assembly 138,4814,mm,23.51,2026-03-13,2026-04-25,CU-0140,in_qa,2026-04-26
R-00042,A,GEAR-102,Gear Assembly 102,3900,mm,73.94,2024-11-21,2024-12-15,CU-0104,pending,2024-12-16
R-00043,B,GEAR-149,Gear Assembly 149,814,mm,8.57,2024-04-09,2024-05-06,CU-0184,shipped,2024-05-07
R-00044,B,VALV-113,Valv Assembly 113,2782,mm,43.21,2025-05-25,2025-06-06,CU-0229,shipped,2025-06-07
R-00045,A,GEAR-113,Gear Assembly 113,4717,mm,28.16,2024-08-10,2024-08-16,CU-0073,completed,2024-08-17
R-00046,B,BRKT-102,Brkt Assembly 102,123,mm,59.12,2025-06-11,2025-06-20,CU-0156,shipped,2025-06-21
R-00047,A,RING-134,Ring Assembly 134,4013,mm,3.83,2027-03-06,2024-10-29,CU-0036,completed,2024-10-30
R-00048,A,CASE-109,Case Assembly 109,679,mm,46.06,2025-12-23,2026-01-31,CU-0054,completed,2026-02-01
R-00049,A,BOLT-103,Bolt Assembly 103,4665,mm,25.41,2026-04-20,2026-04-28,CU-0113,pending,2026-04-29
R-00050,A,VALV-111,Valv Assembly 111,2150,mm,49.33,2025-12-06,2025-12-14,CX-G153,completed,2025-12-15
R-00051,A,SHFT-106,Shft Assembly 106,236,mm,32.11,2024-10-03,2024-10-08,CU-0202,completed,2024-10-09
R-00052,A,BOLT-137,Bolt Assembly 137,3680,mm,43.68,2025-12-12,2025-12-27,CU-0182,completed,2025-12-28
R-00053,C,RING_136,Ring Assembly 136,974,mm,69.79,2024-05-07,2024-05-23,CU-0225,completed,2024-05-24
R-00054,C,CASE_144,Case Assembly 144,1669,mm,27.85,2024-06-06,2024-06-12,CU-0096,completed,2024-06-13
R-00055,C,GEAR_106,Gear Assembly 106,1466,mm,6.95,2025-08-17,2025-09-01,CU-0107,shipped,2025-09-02
R-00056,A,BRKT-149,Brkt Assembly 149,4496,mm,14.73,2025-01-06,2025-01-11,CU-0046,completed,2025-01-12
R-00057,A,GEAR-105,Gear Assembly 105,3884,mm,75.72,2025-08-01,2025-08-07,CU-0111,shipped,2025-08-08
R-00058,B,SHFT-125,Shft Assembly 125,141,mm,33.81,2025-11-25,2025-12-19,CU-0213,shipped,2025-12-20
R-00059,C,BOLT_106,Bolt Assembly 106,4531,mm,75.97,2024-03-31,2024-04-27,CU-0039,shipped,2024-04-28
R-00060,A,BRKT-106,Brkt Assembly 106,1333,mm,4.72,2025-01-12,2025-01-25,CU-0172,completed,2025-01-26
R-00061,C,PLTE_137,Plte Assembly 137,3712,mm,1.98,2026-01-30,2026-02-25,CU-0130,completed,2026-02-26
R-00062,B,SHFT-115,Shft Assembly 115,224,mm,69.41,2025-02-04,2025-03-17,CU-0001,shipped,2025-03-18
R-00063,C,GEAR_136,Gear Assembly 136,4760,mm,59.63,2025-07-14,2025-08-25,CU-0147,shipped,2025-08-26
R-00064,B,GEAR-142,Gear Assembly 142,3895,mm,61.58,2025-04-16,2025-05-29,CU-0200,completed,2025-05-30
R-00065,C,BRKT_112,Brkt Assembly 112,3048,mm,66.02,2025-07-12,2025-08-07,CU-0012,shipped,2025-08-08
R-00066,C,CASE_108,Case Assembly 108,4795,mm,76.95,2024-07-28,2024-08-24,CU-0159,completed,2024-08-25
R-00067,C,VALV_135,Valv Assembly 135,3071,mm,52.95,2024-04-30,2024-05-03,CU-0192,completed,2024-05-04
R-00068,A,BRKT-100,Brkt Assembly 100,2965,mm,29.65,2025-11-27,2025-11-28,CU-0013,shipped,2025-11-29
R-00069,A,SHFT-136,Shft Assembly 136,4380,mm,41.54,2025-10-31,2025-11-01,CU-0199,shipped,2025-11-02
R-00070,C,CASE_102,Case Assembly 102,4145,mm,52.38,2025-04-18,2025-05-23,CU-0029,pending,2025-05-24
R-00071,B,BOLT-115,Bolt Assembly 115,4394,mm,59.44,2024-09-24,2024-10-03,CU-0156,shipped,2024-10-04
R-00072,C,PLTE_114,Plte Assembly 114,1629,mm,58.23,2026-03-27,2026-04-17,CU-0138,in_qa,2026-04-18
R-00073,B,BRKT-106,Brkt Assembly 106,96,mm,4.59,2025-07-04,2025-08-07,CU-0147,shipped,2025-08-08
R-00074,A,SHFT-137,Shft Assembly 137,4022,mm,54.94,2024-07-08,2024-07-10,CU-0148,completed,2024-07-11
R-00075,C,GEAR_139,Gear Assembly 139,2795,mm,37.49,2024-01-22,2024-02-28,CU-0204,pending,2024-02-29
R-00076,A,GEAR-131,Gear Assembly 131,4345,mm,51.08,2025-01-07,2025-01-30,CU-0026,completed,2025-01-31
R-00077,A,GEAR-108,Gear Assembly 108,578,mm,3.67,2026-01-27,2026-03-08,CU-0136,pending,2026-03-09
R-00078,A,VALV-143,Valv Assembly 143,3678,mm,51.54,2025-04-20,2025-05-02,CU-0011,completed,2025-05-03
R-00079,C,SHFT_108,Shft Assembly 108,4653,mm,18.63,2024-01-04,2024-02-07,CU-0188,shipped,2024-02-08
R-00080,C,SHFT_120,Shft Assembly 120,3949,mm,62.95,2024-05-06,2024-05-25,CU-0129,completed,2024-05-26
R-00081,C,CASE_146,Case Assembly 146,4304,mm,68.72,2024-03-19,2024-03-26,CU-0189,pending,2024-03-27
R-00082,B,BRKT-146,Brkt Assembly 146,12,mm,25.25,2026-02-14,2026-03-03,CU-0141,shipped,2026-03-04
R-00083,B,BRKT-115,Brkt Assembly 115,2400,mm,15.0,2025-02-04,2025-03-09,CU-0061,shipped,2025-03-10
R-00084,B,PLTE-145,Plte Assembly 145,179,mm,72.57,2026-04-24,2026-05-09,CU-0081,completed,2026-05-10
R-00085,C,BOLT_106,Bolt Assembly 106,4877,mm,75.4,2024-04-16,2024-05-10,CU-0226,pending,2024-05-11
R-00086,B,SHFT-104,Shft Assembly 104,3638,mm,74.41,2024-04-03,2024-05-15,CX-E185,shipped,2024-05-16
R-00087,B,GEAR-131,Gear Assembly 131,2875,mm,49.73,2024-12-30,2025-01-01,CU-0094,shipped,2025-01-02
R-00088,C,GEAR_130,Gear Assembly 130,4338,mm,70.44,2024-12-29,2025-01-24,CU-0194,shipped,2025-01-25
R-00089,A,case-129 ,Case Assembly 129,244,mm,22.96,2025-10-22,2025-10-27,CU-0045,shipped,2025-10-28
R-00090,B,RING-122,Ring Assembly 122,2332,mm,51.9,2025-02-03,2025-03-16,CU-0013,in_qa,2025-03-17
R-00091,A,BOLT-103,Bolt Assembly 103,1902,mm,25.35,2024-09-19,2024-10-16,CU-0166,shipped,2024-10-17
R-00092,B,VALV-101,Valv Assembly 101,890,mm,19.34,2024-05-01,2024-05-31,CU-0084,shipped,2024-06-01
R-00093,A,RING-125,Ring Assembly 125,4887,mm,60.81,2024-04-02,2024-05-01,CU-0229,shipped,2024-05-02
R-00094,A,PLTE-141,Plte Assembly 141,3868,mm,74.36,2026-04-18,2026-05-19,CU-0194,in_qa,2026-05-20
R-00095,B,BRKT-112,Brkt Assembly 112,192,mm,68.19,2026-05-12,2026-05-14,CU-0159,shipped,2026-05-15
R-00096,C,PLTE_128,Plte Assembly 128,1777,mm,72.23,2025-09-15,2025-10-16,CU-0174,completed,2025-10-17
R-00097,C,PLTE_148,Plte Assembly 148,3426,mm,78.53,2025-08-03,2025-09-05,CU-0116,shipped,2025-09-06
R-00098,C,CASE_144,Case Assembly 144,665,mm,27.32,2024-11-07,2024-11-20,CU-0114,shipped,2024-11-21
R-00099,A,CASE-111,Case Assembly 111,3173,mm,50.39,2025-09-04,2025-09-07,CU-0234,shipped,2025-09-08
R-00100,A,CASE-141,Case Assembly 141,4753,mm,33.87,2024-11-08,2024-11-13,CU-0148,shipped,2024-11-14
R-00101,C,VALV_117,Valv Assembly 117,1505,mm,15.28,2025-09-23,2025-10-29,CU-0008,completed,2025-10-30
R-00102,A,RING-101,Ring Assembly 101,2835,mm,42.1,2025-05-31,2025-06-19,CU-0177,shipped,2025-06-20
R-00103,B,RING-105,Ring Assembly 105,1563,mm,80.09,2025-04-12,2025-05-23,CU-0057,shipped,2025-05-24
R-00104,C,SHFT_119,Shft Assembly 119,4863,mm,43.28,2024-12-08,2025-01-13,CU-0237,shipped,2025-01-14
R-00105,A,BOLT-146,Bolt Assembly 146,1127,mm,62.38,2025-09-17,2025-10-16,CU-0094,completed,2025-10-17
R-00106,A,VALV-106,Valv Assembly 106,4536,mm,52.28,2024-02-26,2024-03-19,CU-0146,shipped,2024-03-20
R-00107,C,VALV_147,Valv Assembly 147,4883,mm,70.46,2025-03-02,2025-03-06,CU-0087,shipped,2025-03-07
R-00108,C,SHFT_146,Shft Assembly 146,2729,mm,48.95,2026-02-25,2026-02-26,CU-0105,shipped,2026-02-27
R-00109,A,GEAR-130,Gear Assembly 130,1081,mm,67.2,2024-07-24,2024-08-22,CU-0202,shipped,2024-08-23
R-00110,A,RING-128,Ring Assembly 128,3258,mm,34.44,2024-12-01,2024-12-06,CU-0187,shipped,2024-12-07
R-00111,C,CASE_112,Case Assembly 112,1359,mm,36.93,2025-07-11,2025-08-18,CU-0037,completed,2025-08-19
R-00112,C,BOLT_105,Bolt Assembly 105,698,mm,45.04,2026-03-26,2026-04-18,CU-0132,completed,2026-04-19
R-00113,B,PLTE-117,Plte Assembly 117,3306,mm,60.91,2026-01-31,2026-02-02,CU-0160,shipped,2026-02-03
R-00114,B,SHFT-146,Shft Assembly 146,661,mm,48.05,2025-03-30,2025-05-01,CU-0020,shipped,2025-05-02
R-00115,C,CASE_138,Case Assembly 138,1254,mm,61.75,2025-10-02,2025-11-05,CU-0026,shipped,2025-11-06
R-00116,A,CASE-142,Case Assembly 142,4207,mm,29.79,2024-07-20,2024-09-01,CU-0141,shipped,2024-09-02
R-00117,A,BRKT-109,Brkt Assembly 109,3357,mm,57.5,2024-02-01,2024-02-10,CU-0098,completed,2024-02-11
R-00118,C,SHFT_132,Shft Assembly 132,3490,mm,9.54,2024-07-15,2024-07-16,CU-0235,shipped,2024-07-17
R-00119,A,GEAR-110,Gear Assembly 110,2880,mm,31.75,2024-04-12,2024-05-01,CU-0143,completed,2024-05-02
R-00120,A,VALV-103,Valv Assembly 103,4402,mm,39.55,2024-10-14,2024-10-27,CU-0191,completed,2024-10-28
R-00121,A,RING-106,Ring Assembly 106,2606,mm,41.16,2025-06-02,2025-06-21,CU-0173,completed,2025-06-22
R-00122,A,BRKT-115,Brkt Assembly 115,1994,mm,14.74,2026-04-08,2026-04-12,CU-0128,shipped,2026-04-13
R-00123,A,bolt-125 ,Bolt Assembly 125,1516,mm,40.65,2025-01-27,2025-03-06,CU-0141,in_qa,2025-03-07
R-00124,B,VALV-126,Valv Assembly 126,4919,mm,53.82,2024-02-20,2024-04-04,CU-0109,shipped,2024-04-05
R-00125,C,RING_141,Ring Assembly 141,4075,mm,38.51,2025-02-09,2025-03-21,CU-0025,completed,2025-03-22
R-00126,B,CASE-116,Case Assembly 116,43,mm,77.26,2025-07-03,2025-07-12,CU-0219,shipped,2025-07-13
R-00127,A,VALV-143,Valv Assembly 143,2160,mm,50.0,2024-04-20,2024-05-13,CU-0090,shipped,2024-05-14
R-00128,B,VALV-142,Valv Assembly 142,4395,mm,72.14,2024-05-12,2024-06-22,CU-0023,shipped,2024-06-23
R-00129,B,BOLT-119,Bolt Assembly 119,2222,mm,23.39,2024-03-11,2024-04-02,CU-0057,pending,2024-04-03
R-00130,A,BRKT-145,Brkt Assembly 145,2494,mm,54.22,2026-03-10,2026-04-03,CU-0017,shipped,2026-04-04
R-00131,A,PLTE-142,Plte Assembly 142,2329,mm,75.29,2024-03-02,2024-03-18,CU-0149,completed,2024-03-19
R-00132,C,BOLT_128,Bolt Assembly 128,156,mm,57.19,2025-04-23,2025-04-29,CU-0105,shipped,2025-04-30
R-00133,A,SHFT-134,Shft Assembly 134,3183,mm,76.68,2024-05-05,2024-05-26,CU-0183,shipped,2024-05-27
R-00134,B,SHFT-119,Shft Assembly 119,4741,mm,43.32,2024-08-08,2024-08-20,CU-0139,shipped,2024-08-21
R-00135,A,CASE-112,Case Assembly 112,3889,mm,36.28,2025-08-02,2025-08-13,CU-0075,completed,2025-08-14
R-00136,B,SHFT-102,Shft Assembly 102,2866,mm,24.62,2024-05-04,2024-05-31,CU-0050,completed,2024-06-01
R-00137,A,SHFT-124,Shft Assembly 124,2913,mm,18.76,2024-09-15,2024-10-03,CU-0180,shipped,2024-10-04
R-00138,C,BOLT_101,Bolt Assembly 101,2570,mm,30.88,2025-03-22,2025-05-02,CU-0238,shipped,2025-05-03
R-00139,A,RING-130,Ring Assembly 130,2653,mm,28.3,2024-11-26,2024-12-16,CU-0094,in_qa,2024-12-17
R-00140,A,SHFT-132,Shft Assembly 132,474,mm,9.5,2025-09-18,2025-10-14,CU-0088,in_qa,2025-10-15
R-00141,B,SHFT-119,Shft Assembly 119,4535,mm,42.45,2024-06-18,2024-06-29,CU-0052,pending,2024-06-30
R-00142,A,SHFT-113,Shft Assembly 113,328,mm,65.89,2025-03-24,2025-04-11,CU-0191,pending,2025-04-12
R-00143,C,SHFT_123,Shft Assembly 123,1027,mm,8.71,2024-07-10,2024-07-22,CU-0146,completed,2024-07-23
R-00144,B,GEAR-110,Gear Assembly 110,1174,mm,31.2,2024-08-09,2024-08-17,CU-0231,completed,2024-08-18
R-00145,B,CASE-104,Case Assembly 104,178,mm,5.72,2026-04-27,2026-05-28,CU-0033,shipped,2026-05-29
R-00146,C,GEAR_104,Gear Assembly 104,3039,mm,47.91,2025-02-21,2025-03-14,CU-0031,completed,2025-03-15
R-00147,A,BRKT-118,Brkt Assembly 118,1703,mm,35.5,2024-10-06,2024-10-14,CU-0142,in_qa,2024-10-15
R-00148,C,CASE_142,Case Assembly 142,3168,mm,29.75,2025-10-23,2025-10-24,CU-0164,shipped,2025-10-25
R-00149,A,CASE-108,Case Assembly 108,2384,mm,77.43,2026-04-15,2026-05-01,CU-0218,shipped,2026-05-02
R-00150,B,BRKT-146,Brkt Assembly 146,139,mm,25.62,2026-02-03,2026-02-04,CU-0200,in_qa,2026-02-05
R-00151,C,SHFT_137,Shft Assembly 137,3691,mm,54.93,2025-01-27,2025-02-28,CU-0097,shipped,2025-03-01
R-00152,B,BOLT-102,Bolt Assembly 102,1163,mm,69.63,2025-01-10,2025-01-20,CU-0061,shipped,2025-01-21
R-00153,B,BOLT-116,Bolt Assembly 116,1005,mm,54.22,2025-06-04,2025-06-06,CU-0166,completed,2025-06-07
R-00154,A,BOLT-123,Bolt Assembly 123,4426,mm,74.91,2026-02-02,2026-02-04,CU-0003,shipped,2026-02-05
R-00155,A,BRKT-146,Brkt Assembly 146,4740,mm,24.97,2024-05-22,2024-06-02,CU-0181,shipped,2024-06-03
R-00156,C,RING_135,Ring Assembly 135,2012,mm,3.31,2026-02-21,2026-03-09,CU-0083,completed,2026-03-10
R-00157,B,PLTE-124,Plte Assembly 124,3915,mm,21.02,2024-06-12,2024-07-06,CU-0098,completed,2024-07-07
R-00158,A,BOLT-113,Bolt Assembly 113,420,mm,40.29,2024-04-17,2024-05-10,CU-0206,shipped,2024-05-11
R-00159,C,PLTE_101,Plte Assembly 101,954,mm,6.85,2024-11-08,2024-12-06,CU-0038,shipped,2024-12-07
R-00160,A,CASE-145,Case Assembly 145,4850,mm,75.68,2025-07-22,2025-08-06,CU-0078,shipped,2025-08-07
R-00161,B,BOLT-104,Bolt Assembly 104,3593,mm,13.96,2024-04-07,2024-05-09,CU-0008,completed,2024-05-10
R-00162,A,CASE-106,Case Assembly 106,4513,mm,2.18,2024-09-04,2024-10-07,CU-0176,completed,2024-10-08
R-00163,C,PLTE_130,Plte Assembly 130,4879,mm,64.88,2025-08-25,2025-09-26,CU-0232,shipped,2025-09-27
R-00164,A,PLTE-142,Plte Assembly 142,575,mm,74.17,2026-03-31,2026-05-08,CU-0133,shipped,2026-05-09
R-00165,C,BRKT_135,Brkt Assembly 135,2300,mm,65.22,2024-01-05,2024-02-16,CU-0130,completed,2024-02-17
R-00166,A,VALV-130,Valv Assembly 130,1554,mm,28.01,2025-11-13,2025-12-21,CU-0232,in_qa,2025-12-22
R-00167,A,CASE-144,Case Assembly 144,1864,mm,27.96,2025-03-18,2025-04-28,CU-0148,completed,2025-04-29
R-00168,A,BOLT-116,Bolt Assembly 116,783,mm,56.06,2024-08-11,2024-08-13,CU-0044,completed,2024-08-14
R-00169,A,GEAR-102,Gear Assembly 102,727,mm,73.58,2025-07-18,2025-08-10,CU-0181,completed,2025-08-11
R-00170,C,CASE_127,Case Assembly 127,4682,mm,1.87,2025-09-16,2025-10-14,CU-0187,shipped,2025-10-15
R-00171,C,RING_132,Ring Assembly 132,1126,mm,1.19,2024-08-11,2024-09-11,CU-0191,shipped,2024-09-12
R-00172,B,VALV-114,Valv Assembly 114,84,mm,7.16,2025-10-18,2025-11-04,CU-0213,pending,2025-11-05
R-00173,A,GEAR-146,Gear Assembly 146,4265,mm,42.26,2025-08-13,2025-09-04,CU-0031,shipped,2025-09-05
R-00174,A,RING-102,Ring Assembly 102,2954,mm,42.55,2025-10-29,2025-11-08,CU-0042,completed,2025-11-09
R-00175,A,BOLT-126,Bolt Assembly 126,3495,mm,62.67,2026-02-24,2026-03-19,CU-0225,shipped,2026-03-20
R-00176,C,GEAR_124,Gear Assembly 124,2889,mm,55.1,2025-01-15,2025-02-12,CU-0205,completed,2025-02-13
R-00177,A,VALV-113,Valv Assembly 113,1911,mm,42.19,2024-12-01,2024-12-31,CU-0070,shipped,2025-01-01
R-00178,C,GEAR_104,Gear Assembly 104,1597,mm,46.93,2024-08-14,2024-09-24,CU-0033,shipped,2024-09-25
R-00179,C,BOLT_141,Bolt Assembly 141,2755,mm,3.03,2024-04-06,2024-04-26,CU-0236,shipped,2024-04-27
R-00180,A,GEAR-135,Gear Assembly 135,1984,mm,26.3,2024-05-09,2024-06-04,CU-0126,pending,2024-06-05
R-00181,A,BRKT-120,Brkt Assembly 120,3497,mm,48.89,2025-10-16,2025-11-01,CU-0094,in_qa,2025-11-02
R-00182,B,BOLT-149,Bolt Assembly 149,4310,mm,6.99,2024-02-16,2024-03-06,CU-0012,shipped,2024-03-07
R-00183,A,SHFT-104,Shft Assembly 104,1857,mm,72.84,2026-01-14,2026-02-17,CU-0207,in_qa,2026-02-18
R-00184,C,BOLT_138,Bolt Assembly 138,3293,mm,23.46,2026-02-07,2026-03-22,CU-0170,completed,2026-03-23
R-00185,B,GEAR-116,Gear Assembly 116,3188,mm,11.28,2025-01-19,2025-02-18,CU-0042,shipped,2025-02-19
R-00186,A,BRKT-149,Brkt Assembly 149,3466,mm,15.07,2024-04-03,2024-05-09,CU-0026,shipped,2024-05-10
R-00187,A,CASE-100,Case Assembly 100,3466,mm,40.62,2024-02-29,2024-03-23,CU-0237,shipped,2024-03-24
R-00188,C,BOLT_108,Bolt Assembly 108,3391,mm,46.44,2026-03-24,2026-04-25,CU-0024,shipped,2026-04-26
R-00189,C,SHFT_141,Shft Assembly 141,4738,mm,19.96,2025-06-12,2025-07-12,CU-0049,in_qa,2025-07-13
R-00190,A,VALV-129,Valv Assembly 129,110,mm,10.77,2025-05-24,2025-06-28,CU-0185,completed,2025-06-29
R-00191,A,VALV-144,Valv Assembly 144,1729,mm,27.9,2026-01-01,2026-01-10,CU-0137,shipped,2026-01-11
R-00192,B,CASE-131,Case Assembly 131,187,mm,54.49,2026-02-18,2026-03-16,CU-0240,shipped,2026-03-17
R-00193,B,GEAR-118,Gear Assembly 118,4213,mm,5.85,2024-11-22,2025-01-05,CU-0032,completed,2025-01-06
R-00194,B,GEAR-117,Gear Assembly 117,3363,mm,63.39,2024-07-25,2024-08-16,CU-0122,completed,2024-08-17
R-00195,A,SHFT-100,Shft Assembly 100,367,mm,2.56,2025-05-12,2025-06-14,CU-0188,completed,2025-06-15
R-00196,C,SHFT_110,Shft Assembly 110,95,mm,22.85,2025-12-23,2025-12-25,CU-0150,shipped,2025-12-26
R-00197,C,BOLT_107,Bolt Assembly 107,2868,mm,55.97,2025-02-14,2025-03-01,CU-0136,completed,2025-03-02
R-00198,A,BOLT-149,Bolt Assembly 149,1376,mm,6.93,2025-11-06,2025-12-08,CU-0217,shipped,2025-12-09
R-00199,B,SHFT-126,Shft Assembly 126,161,mm,66.29,2026-05-01,2026-05-11,CU-0110,shipped,2026-05-12
R-00200,B,BOLT-104,Bolt Assembly 104,2927,mm,13.24,2024-05-29,2024-06-20,CU-0039,shipped,2024-06-21
R-00201,A,GEAR-126,Gear Assembly 126,1888,mm,60.2,2024-04-26,2024-05-15,CU-0042,in_qa,2024-05-16
R-00202,A,VALV-140,Valv Assembly 140,3844,mm,7.43,2024-09-29,2024-10-04,CU-0235,pending,2024-10-05
R-00203,B,BRKT-116,Brkt Assembly 116,779,mm,24.35,2024-05-26,2024-07-01,CU-0092,shipped,2024-07-02
R-00204,A,PLTE-110,Plte Assembly 110,429,mm,43.98,2025-01-30,2025-03-02,CU-0026,completed,2025-03-03
R-00205,C,RING_122,Ring Assembly 122,1663,mm,52.89,2025-10-28,2025-12-03,CU-0133,shipped,2025-12-04
R-00206,C,PLTE_100,Plte Assembly 100,1490,mm,51.61,2025-11-13,2025-11-21,CU-0218,completed,2025-11-22
R-00207,B,PLTE-126,Plte Assembly 126,772,mm,76.15,2024-10-12,2024-11-05,CU-0055,completed,2024-11-06
R-00208,A,PLTE-133,Plte Assembly 133,1254,mm,38.35,2024-04-24,2024-05-06,CU-0159,shipped,2024-05-07
R-00209,B,BRKT-105,Brkt Assembly 105,775,mm,12.25,2024-08-22,2024-08-23,CU-0164,pending,2024-08-24
R-00210,C,GEAR_119,Gear Assembly 119,115,mm,79.74,2025-05-05,2025-06-16,CU-0017,completed,2025-06-17
R-00211,B,GEAR-132,Gear Assembly 132,196,mm,25.92,2026-02-13,2026-03-20,CU-0100,completed,2026-03-21
R-00212,B,CASE-113,Case Assembly 113,4904,mm,44.57,2025-03-15,2025-03-26,CU-0238,shipped,2025-03-27
R-00213,B,BOLT-126,Bolt Assembly 126,1151,mm,64.26,2024-09-18,2024-10-27,CU-0145,completed,2024-10-28
R-00214,B,CASE-148,Case Assembly 148,1118,mm,59.44,2025-02-21,2025-03-09,CU-0021,completed,2025-03-10
R-00215,B,SHFT-145,Shft Assembly 145,2893,mm,3.0,2024-02-26,2024-03-22,CU-0147,shipped,2024-03-23
R-00216,B,SHFT-102,Shft Assembly 102,611,mm,25.64,2026-02-09,2026-03-08,CU-0215,shipped,2026-03-09
